Algorithm,Dataset,K,Noise,Silhouette,DaviesBouldin,CalinskiHarabasz,ARI_vs_Tissue,NMI_vs_Tissue
KMeans (K=2),Full,2,0,0.062263396503496465,3.7301388202171433,100.02962277131417,0.012983174400139597,0.0031791888724200905
KMeans (K=10),Full,10,0,0.07403015015004018,3.096393004789067,49.32028329266737,0.06941173807666032,0.1867853275824411
Agglomerative (Ward),Full,10,0,0.07205150208491577,3.116913018308177,45.46777640016576,0.08723096224202162,0.21083097939995288
Agglomerative (Complete),Full,10,0,0.05424122933151311,1.937307984344749,10.059877489766007,-0.01159164689871476,0.011858907292930645
DBSCAN (eps=130.25),Full,1,104,,,,0.0223689264707715,0.0021943690852900535
BIRCH,Full,10,0,0.07205150208491577,3.116913018308177,45.46777640016576,0.08723096224202162,0.21083097939995288
KMeans (K=2),PCA-50,2,0,0.11584246580224679,2.728828899844241,185.84148923630667,0.011994778518249394,0.0025825601278404425
KMeans (K=10),PCA-50,10,0,0.1634466102187995,2.0427132951719154,111.3967946005359,0.07242919403166825,0.19889943595695517
Agglomerative (Ward),PCA-50,10,0,0.1450591392657375,2.1340101921026493,96.83734411641525,0.06733438413886582,0.19575514480064118
Agglomerative (Complete),PCA-50,10,0,0.08190065490485506,1.341528505146856,34.083249424312214,-0.008533517641159203,0.010463366490054837
DBSCAN (eps=67.87),PCA-50,3,76,0.3577904627856768,0.9267997804655437,32.021460802691905,-0.022985811269457083,0.0076806875743554315
BIRCH,PCA-50,10,0,0.1450591392657375,2.1340101921026493,96.83734411641525,0.06733438413886582,0.19575514480064118
KMeans (K=2),TopVar-200,2,0,0.06465354621498773,3.8355889084589267,82.29902593142069,-0.019530442439693256,0.006911803926233898
KMeans (K=10),TopVar-200,10,0,0.047955997564893105,2.8208203274755244,42.72765793136388,0.08170685262698317,0.1865469783436074
Agglomerative (Ward),TopVar-200,10,0,0.0368227845820485,3.053976224038498,39.51309422219588,0.09417896961223003,0.20331372305072334
Agglomerative (Complete),TopVar-200,10,0,0.4777859213428768,0.8369634323275983,13.150859495342138,-0.0031612344656624133,0.007706291475152557
DBSCAN (eps=16.03),TopVar-200,1,112,,,,0.025957301292208343,0.002783527618951058
BIRCH,TopVar-200,10,0,0.0368227845820485,3.053976224038498,39.51309422219588,0.09417896961223003,0.20331372305072334
