Algorithm,Dataset,K,Noise,Silhouette,DaviesBouldin,CalinskiHarabasz,ARI_vs_Tissue,NMI_vs_Tissue
Agglomerative (Complete),TopVar-200,10,0,0.478,0.837,13.151,-0.003,0.008
DBSCAN (eps=67.87),PCA-50,3,76,0.358,0.927,32.021,-0.023,0.008
KMeans (K=10),PCA-50,10,0,0.163,2.043,111.397,0.072,0.199
Agglomerative (Ward),PCA-50,10,0,0.145,2.134,96.837,0.067,0.196
BIRCH,PCA-50,10,0,0.145,2.134,96.837,0.067,0.196
KMeans (K=2),PCA-50,2,0,0.116,2.729,185.841,0.012,0.003
Agglomerative (Complete),PCA-50,10,0,0.082,1.342,34.083,-0.009,0.01
KMeans (K=10),Full,10,0,0.074,3.096,49.32,0.069,0.187
BIRCH,Full,10,0,0.072,3.117,45.468,0.087,0.211
Agglomerative (Ward),Full,10,0,0.072,3.117,45.468,0.087,0.211
KMeans (K=2),TopVar-200,2,0,0.065,3.836,82.299,-0.02,0.007
KMeans (K=2),Full,2,0,0.062,3.73,100.03,0.013,0.003
Agglomerative (Complete),Full,10,0,0.054,1.937,10.06,-0.012,0.012
KMeans (K=10),TopVar-200,10,0,0.048,2.821,42.728,0.082,0.187
Agglomerative (Ward),TopVar-200,10,0,0.037,3.054,39.513,0.094,0.203
